carat,cut,color,clarity,depth,table,x,y,z,price
0.91,Premium,H,VS2,60.6,58,6.3,6.25,3.8,4293
1.24,Ideal,I,SI1,61.1,60,6.94,6.91,4.23,5976
1.5,Premium,E,SI2,61.5,60,7.29,7.22,4.46,7182
1.39,Ideal,J,VS2,60.9,57,7.2,7.25,4.4,6831
0.9,Ideal,F,SI2,61.8,56,6.18,6.21,3.83,4593
1.05,Very Good,G,SI1,61.6,57,6.51,6.54,4.02,5197
1.04,Ideal,F,SI1,61.3,56,6.55,6.5,4.0,5882
0.91,Ideal,H,SI1,62.0,56,6.19,6.22,3.85,4337
2.0,Good,J,I1,63.6,62,7.97,7.8,5.02,6521
1.09,Ideal,G,SI1,62.2,56,6.6,6.55,4.09,4970
1.01,Premium,G,VVS2,63.0,61,6.36,6.34,4.0,7665
1.01,Ideal,G,VS2,62.7,54,6.43,6.47,4.04,6937
1.03,Very Good,F,SI2,61.1,59,6.51,6.58,4.0,4218
1.02,Fair,D,SI1,70.6,57,6.08,6.01,4.27,4398
1.2,Ideal,H,VS2,59.9,57,6.91,6.87,4.13,6487
1.07,Very Good,D,SI1,61.8,61,6.54,6.57,4.05,5767
1.0,Ideal,D,SI1,60.2,57,6.48,6.54,3.92,4774
1.52,Premium,H,SI2,62.6,60,7.34,7.3,4.58,6086
0.93,Premium,G,VS1,62.1,59,6.21,6.16,3.84,4793
1.01,Premium,G,SI1,61.5,59,6.48,6.43,3.97,5006
1.01,Ideal,G,SI1,62.3,57,6.41,6.36,3.98,4694
1.04,Premium,E,SI2,62.4,57,6.51,6.43,4.04,4892
1.06,Ideal,H,SI1,60.8,54,6.64,6.61,4.03,4602
0.9,Very Good,H,VS2,62.6,59,6.07,6.16,3.83,5502
1.13,Very Good,H,SI1,60.1,60,6.73,6.77,4.06,4959
1.28,Ideal,H,SI2,61.8,57,7.0,6.97,4.32,5676
1.23,Premium,H,VS2,59.3,58,7.0,6.94,4.13,5979
0.92,Very Good,F,SI1,62.2,55,6.19,6.26,3.87,4621
1.27,Premium,I,SI1,62.3,56,6.93,6.85,4.29,5547
1.11,Ideal,J,VS2,61.7,54,6.64,6.69,4.11,5051
0.83,Very Good,D,IF,59.7,53,6.14,6.23,3.69,7889
1.22,Premium,H,SI1,60.6,60,6.92,6.85,4.17,6387
1.43,Fair,I,VS1,50.8,60,7.73,7.25,3.93,6727
1.16,Very Good,H,SI2,61.8,58,6.75,6.81,4.19,4785
0.91,Very Good,F,VS2,60.8,57,6.24,6.25,3.8,4606
1.01,Very Good,H,SI2,63.9,56,6.29,6.38,4.05,4023
1.5,Premium,D,I1,61.7,62,7.28,7.24,4.48,6300
1.01,Very Good,I,SI2,63.5,57,6.35,6.37,4.04,4244
1.04,Ideal,F,SI1,59.9,56,6.64,6.58,3.96,4403
1.05,Ideal,G,VS2,61.6,56,6.52,6.56,4.03,6837
0.9,Very Good,G,VS1,62.3,60,6.0,6.08,3.76,4540
1.09,Premium,H,VS1,60.2,59,6.71,6.67,4.03,5860
1.0,Premium,H,VS2,61.3,61,6.44,6.38,3.93,5096
1.22,Premium,E,SI2,60.5,60,6.93,6.89,4.18,4974
1.12,Ideal,G,SI1,62.0,55,6.68,6.65,4.13,5551
0.9,Very Good,D,SI1,62.7,56,6.12,6.16,3.85,4381
1.22,Premium,I,VS2,60.3,59,6.93,6.87,4.16,6217
1.5,Good,E,SI2,61.5,65,7.21,7.17,4.42,6300
1.22,Premium,E,SI1,62.3,59,6.8,6.74,4.22,7395
1.06,Premium,E,VS2,61.3,58,6.56,6.52,4.01,7408
1.12,Good,F,VS2,63.8,57,6.59,6.61,4.21,6925
1.04,Very Good,G,VS2,61.9,57,6.46,6.5,4.01,6177
1.01,Very Good,G,IF,63.0,60,6.31,6.35,3.99,7974
1.51,Good,J,VS2,64.0,58,7.24,7.27,4.64,6936
1.21,Premium,F,SI1,61.1,61,6.78,6.74,4.13,5720
1.0,Very Good,E,VS1,63.0,58,6.29,6.38,3.99,7676
1.39,Premium,H,SI1,62.7,58,7.15,7.08,4.46,7986
1.23,Ideal,H,SI1,62.3,57,6.85,6.89,4.28,5938
1.5,Good,H,I1,64.0,56,7.18,7.05,4.56,4022
1.04,Very Good,D,SI1,63.4,55,6.41,6.46,4.08,5557
1.3,Ideal,G,VS1,62.4,56,7.03,6.95,4.36,6928
1.01,Ideal,J,VS2,62.3,55,6.4,6.44,4.0,4425
1.0,Very Good,D,SI2,63.5,59,6.35,6.32,4.02,4295
1.51,Good,I,SI2,63.6,60,7.27,7.23,4.61,7957
1.0,Ideal,F,VS1,61.9,57,6.41,6.39,3.96,7526
1.01,Premium,E,SI2,60.0,61,6.53,6.47,3.9,4921
1.0,Premium,E,SI1,61.1,60,6.47,6.42,3.94,5174
0.9,Ideal,E,VS1,61.7,56,6.19,6.22,3.83,6230
1.01,Very Good,G,VS2,61.9,58,6.37,6.42,3.96,6047
1.22,Premium,H,VS2,62.7,59,6.82,6.81,4.27,6184
1.01,Premium,F,SI1,62.2,59,6.41,6.36,3.97,5345
1.51,Premium,J,VS2,62.3,59,7.31,7.35,4.57,7418
1.04,Ideal,E,SI2,61.4,56,6.56,6.5,4.01,4892
1.23,Premium,E,SI1,59.2,62,7.05,7.0,4.16,7274
1.2,Premium,G,VS2,62.1,61,6.74,6.68,4.17,7728
1.35,Premium,J,SI1,61.1,61,7.13,7.1,4.35,5715
1.6,Premium,J,SI1,62.2,58,7.48,7.54,4.67,7550
1.0,Very Good,F,VS2,62.9,55,6.34,6.38,4.0,6352
1.02,Very Good,E,VS1,58.9,59,6.52,6.65,3.88,7253
0.97,Very Good,G,SI1,60.2,61,6.4,6.46,3.87,4140
1.03,Ideal,F,VS1,60.7,56,6.6,6.54,3.99,7429
1.07,Premium,D,SI1,63.0,57,6.57,6.47,4.11,6124
1.01,Premium,G,VS2,61.6,58,6.45,6.4,3.96,6027
1.49,Fair,H,I1,66.9,61,6.93,6.89,4.62,6425
0.9,Fair,D,SI1,64.0,63,6.12,6.04,3.89,4796
1.27,Ideal,F,SI1,61.8,57,6.96,6.89,4.28,5761
1.15,Premium,G,SI1,62.6,58,6.71,6.65,4.18,5851
1.25,Ideal,I,SI2,63.3,56,6.87,6.83,4.34,5292
1.19,Premium,I,SI1,61.3,59,6.84,6.79,4.18,5464
1.1,Very Good,G,VS1,60.3,62,6.72,6.67,4.04,6951
1.01,Premium,G,SI2,62.4,58,6.41,6.38,3.99,4442
1.03,Premium,F,VS2,62.6,58,6.45,6.4,4.02,5774
1.34,Ideal,J,VS1,62.0,57,7.12,7.04,4.39,6010
1.38,Good,J,SI2,63.7,58,7.06,7.01,4.48,4598
0.8,Ideal,G,VVS2,61.4,57,5.96,6.0,3.67,4740
1.22,Ideal,F,SI2,62.0,57,6.88,6.83,4.25,4852
1.01,Premium,H,SI1,63.0,60,6.36,6.33,4.0,4642
1.21,Very Good,H,SI1,60.2,58,6.89,6.93,4.16,6229
1.0,Ideal,G,VS2,62.3,56,6.43,6.32,3.97,5887
1.55,Ideal,J,SI1,61.7,54,7.42,7.55,4.62,7987
1.45,Fair,F,I1,64.8,67,7.16,7.0,4.64,4320
1.26,Premium,G,SI2,59.1,59,7.09,7.05,4.18,5899
1.5,Good,H,SI2,63.8,57,7.21,7.14,4.58,5416
1.13,Ideal,I,VS1,61.6,54,6.72,6.74,4.15,5813
1.01,Good,E,SI1,63.5,58,6.28,6.35,4.01,4546
1.01,Very Good,D,VS2,63.1,58,6.34,6.38,4.01,7448
1.12,Premium,H,SI1,62.4,56,6.74,6.63,4.17,4994
1.01,Good,G,VS2,63.8,57,6.27,6.34,4.02,5279
1.01,Premium,E,VS2,59.3,58,6.53,6.49,3.86,7240
1.14,Premium,G,VS2,61.9,58,6.72,6.68,4.15,6256
1.01,Premium,H,VS2,62.3,60,6.32,6.27,3.92,4909
1.0,Good,G,SI2,61.7,63,6.36,6.37,3.93,4493
1.07,Ideal,D,SI1,61.8,55,6.54,6.59,4.06,5767
1.69,Ideal,H,I1,62.0,56,7.66,7.61,4.73,6757
1.15,Very Good,H,VS1,62.5,56,6.65,6.72,4.18,7040
1.0,Premium,H,SI1,62.2,60,6.45,6.34,3.98,4469
1.32,Good,I,VS1,59.2,58,7.14,7.18,4.24,7143
1.05,Ideal,G,SI2,62.2,54,6.52,6.56,4.07,4667
1.01,Ideal,D,SI1,63.0,56,6.36,6.41,4.02,6579
1.0,Ideal,H,SI1,61.4,55,6.49,6.44,3.97,4676
1.02,Premium,G,SI2,62.5,59,6.37,6.42,4.0,4291
1.19,Ideal,D,SI2,60.4,55,6.91,6.89,4.17,5504
1.01,Very Good,G,VS2,61.6,56,6.4,6.46,3.96,5839
0.9,Ideal,G,VS2,62.7,56,6.25,6.15,3.89,4133
1.19,Ideal,I,IF,61.7,56,6.78,6.81,4.19,7207
1.0,Very Good,F,SI2,63.4,55,6.3,6.38,4.02,4033
1.13,Very Good,G,SI1,63.1,58,6.65,6.59,4.18,5526
1.01,Ideal,D,SI2,61.6,57,6.42,6.46,3.97,4916
1.35,Premium,J,VS2,61.2,61,7.13,7.08,4.35,4974
1.0,Premium,F,SI1,60.6,62,6.43,6.4,3.89,5410
1.05,Ideal,I,VS2,62.2,56,6.49,6.52,4.04,6279
1.5,Fair,H,SI2,59.3,58,7.31,7.37,4.35,7098
1.04,Very Good,G,SI2,62.6,58,6.42,6.49,4.04,4375
1.32,Premium,J,VS2,60.4,58,7.11,7.14,4.3,5800
0.9,Good,E,VS1,62.7,58,6.07,6.12,3.82,5201
1.25,Ideal,I,SI2,61.4,55,6.92,6.99,4.27,5395
1.02,Fair,E,VS2,66.6,57,6.09,6.14,4.07,5350
1.01,Premium,E,VS2,59.3,59,6.59,6.54,3.89,5882
0.9,Very Good,D,SI1,63.4,53,6.1,6.17,3.89,4187
1.23,Ideal,H,VS1,62.1,54,6.87,6.89,4.27,7946
1.22,Premium,H,SI2,60.7,59,6.91,6.87,4.18,5671
1.01,Ideal,F,SI2,62.9,57,6.35,6.41,4.01,4858
0.9,Ideal,D,SI1,61.3,58,6.16,6.21,3.79,4661
1.0,Very Good,G,VVS2,62.7,57,6.32,6.37,3.98,7950
1.24,Premium,I,SI1,60.4,58,7.02,6.95,4.22,5555
1.21,Ideal,H,VVS2,60.4,57,6.9,6.93,4.18,7954
1.06,Ideal,H,SI1,62.7,57,6.53,6.48,4.08,4196
1.0,Ideal,G,SI1,63.0,55,6.42,6.41,4.04,5096
0.9,Ideal,H,VS1,62.0,56,6.22,6.19,3.85,4234
1.23,Ideal,I,SI2,62.1,56,6.84,6.88,4.26,5175
1.06,Ideal,G,SI2,62.2,55,6.53,6.56,4.07,4459
1.33,Ideal,I,VVS2,62.2,56,7.01,7.04,4.37,7887
0.92,Premium,E,SI1,62.1,58,6.22,6.15,3.84,4482
1.5,Premium,J,VS2,59.6,60,7.38,7.31,4.38,7503
1.01,Premium,H,VS2,61.3,59,6.41,6.45,3.94,5166
1.0,Very Good,F,VS2,63.2,59,6.35,6.3,4.0,6296
1.05,Premium,G,SI2,61.3,58,6.55,6.6,4.03,4241
1.01,Premium,G,VS1,62.6,59,6.38,6.46,4.02,6499
1.12,Ideal,H,SI1,60.7,56,6.74,6.7,4.08,5457
1.52,Premium,I,SI2,62.2,59,7.36,7.27,4.56,6214
1.3,Ideal,G,SI2,61.9,57,7.01,6.95,4.32,5169
1.27,Premium,G,SI1,61.4,59,6.98,6.94,4.27,7133
1.1,Premium,H,SI2,59.5,57,6.81,6.74,4.03,4004
1.01,Good,H,VVS2,63.3,57,6.35,6.39,4.03,5988
1.01,Ideal,I,SI1,62.3,59,6.41,6.37,3.98,4518
1.04,Premium,G,VS1,60.2,58,6.65,6.64,4.0,6360
1.03,Premium,F,VS1,61.8,59,6.46,6.48,4.0,7328
0.96,Very Good,F,SI2,60.9,57,6.38,6.42,3.9,4142
1.14,Premium,F,SI1,61.1,59,6.7,6.75,4.11,5925
1.0,Good,I,VS1,63.7,56,6.34,6.32,4.03,5018
1.02,Ideal,F,SI2,62.4,55,6.46,6.43,4.02,4662
1.22,Premium,H,SI2,61.3,60,6.87,6.81,4.19,4509
1.06,Ideal,F,SI1,61.7,55,6.56,6.58,4.06,6249
1.24,Premium,H,VS2,61.2,59,6.89,6.93,4.23,6850
1.28,Very Good,H,SI2,60.2,58,7.03,7.13,4.26,5984
1.04,Very Good,I,SI1,63.2,54,6.49,6.42,4.08,4193
1.01,Very Good,G,IF,60.0,61,6.41,6.45,3.86,7974
1.52,Ideal,J,SI1,61.9,57,7.33,7.37,4.55,7356
1.0,Good,G,VS2,59.1,62,6.42,6.45,3.8,6369
1.07,Ideal,H,SI2,62.8,56,6.5,6.56,4.1,4899
1.31,Very Good,G,SI2,63.4,58,6.91,6.8,4.35,4714
1.1,Premium,E,SI2,59.1,60,6.77,6.7,3.98,4967
1.01,Ideal,D,SI2,61.3,54,6.52,6.47,3.99,5006
1.22,Premium,H,SI1,62.4,58,6.82,6.77,4.24,6153
1.01,Premium,H,SI1,62.8,58,6.38,6.36,4.0,4642
1.09,Ideal,G,VS2,61.2,56,6.62,6.64,4.06,7357
1.01,Good,E,SI1,63.1,60,6.34,6.37,4.01,4912
1.08,Premium,F,SI2,60.2,59,6.65,6.6,3.99,4488
1.02,Very Good,F,SI1,61.9,58,6.43,6.49,4.0,5019
1.01,Ideal,F,VS2,62.0,56,6.51,6.46,4.02,6533
1.02,Ideal,G,SI1,62.8,57,6.38,6.35,4.0,5055
1.03,Ideal,F,SI2,61.9,56,6.47,6.43,3.99,4280
0.91,Ideal,E,SI1,61.9,55,6.21,6.23,3.85,5458
1.21,Premium,H,SI1,59.8,58,6.95,6.9,4.14,6573
1.41,Very Good,F,SI2,61.4,59,7.17,7.2,4.41,7215
1.03,Premium,D,SI2,61.7,58,6.47,6.5,4.0,4679
1.14,Premium,G,VS2,61.2,58,6.75,6.71,4.12,6619
1.3,Very Good,H,SI2,62.8,58,6.93,7.01,4.38,6140
1.21,Premium,G,SI2,60.9,59,6.87,6.82,4.17,4472
0.9,Very Good,D,VS1,63.0,58,6.11,6.14,3.86,5547
1.03,Premium,F,VS1,62.2,57,6.51,6.47,4.04,7365
1.25,Premium,H,SI2,62.1,58,6.93,6.86,4.28,5950
1.04,Very Good,H,SI1,62.0,58,6.42,6.48,4.0,5285
1.01,Very Good,F,SI1,60.7,58,6.4,6.51,3.92,5248
1.27,Premium,H,VS2,60.7,58,7.04,6.97,4.25,7496
1.14,Ideal,H,SI1,61.6,57,6.7,6.75,4.14,5003
1.01,Very Good,D,SI2,60.3,57,6.51,6.56,3.94,4588
1.01,Fair,F,VS1,61.7,61,6.6,6.49,4.04,6651
1.02,Premium,F,SI2,62.7,59,6.38,6.45,4.02,4151
1.0,Ideal,H,SI2,61.2,57,6.42,6.45,3.94,4260
0.96,Premium,E,SI1,58.7,62,6.41,6.39,3.76,4365
1.12,Very Good,D,SI1,59.9,57,6.76,6.8,4.06,6132
1.01,Very Good,G,SI2,62.9,56,6.36,6.39,4.01,4176
1.02,Ideal,F,SI2,61.8,57,6.49,6.43,3.99,4832
0.9,Ideal,E,SI1,61.1,56,6.21,6.23,3.8,4854
1.0,Ideal,E,SI2,61.8,57,6.43,6.39,3.96,4829
1.04,Ideal,H,VS1,62.7,57,6.42,6.46,4.04,5577
1.53,Ideal,J,SI1,62.2,58,7.35,7.37,4.58,7721
1.0,Ideal,E,VS2,59.6,57,6.43,6.42,3.83,7168
1.09,Very Good,G,SI1,60.2,60,6.66,6.7,4.02,5305
1.0,Premium,G,SI1,63.0,59,6.44,6.32,4.02,4956
1.0,Very Good,G,SI1,62.3,62,6.34,6.38,3.96,5511
1.05,Ideal,G,VS2,61.6,59,6.51,6.54,4.02,6981
1.01,Very Good,E,SI1,64.1,56,6.29,6.35,4.05,5479
1.29,Ideal,J,SI1,61.6,57,7.0,7.06,4.33,5237
1.03,Good,H,SI1,59.3,56,6.57,6.66,3.92,4705
1.0,Ideal,D,SI2,62.7,58,6.34,6.39,3.99,5246
1.02,Ideal,F,VS1,60.7,56,6.53,6.61,3.99,7091
2.49,Fair,J,I1,66.3,58,8.26,8.18,5.45,6289
1.05,Ideal,H,VS2,61.7,57,6.55,6.52,4.03,5833
1.41,Very Good,H,SI2,58.5,57,7.36,7.44,4.33,7339
1.01,Premium,G,SI1,62.5,60,6.39,6.34,3.98,4672
1.01,Fair,F,SI2,58.2,61,6.48,6.52,3.78,4127
1.21,Ideal,H,IF,61.0,57,6.79,6.89,4.17,7789
0.91,Very Good,I,VS2,59.9,58,6.35,6.27,3.78,4008
1.31,Premium,I,VS1,62.8,57,6.98,6.9,4.36,5759
1.37,Very Good,I,SI2,62.2,59,7.07,7.17,4.43,5834
1.14,Very Good,E,SI2,60.0,54,6.74,6.97,4.11,5593
1.65,Very Good,J,SI1,61.5,58,7.49,7.62,4.65,7943
1.12,Premium,I,SI1,62.0,56,6.73,6.65,4.15,4641
1.08,Ideal,H,VS2,61.8,56,6.59,6.55,4.06,5625
1.04,Ideal,I,VS2,61.8,55,6.5,6.54,4.03,5242
1.05,Premium,G,SI2,62.7,54,6.51,6.48,4.07,4018
1.02,Ideal,F,SI2,61.8,57,6.43,6.49,3.99,4746
1.02,Ideal,G,VS1,61.4,57,6.45,6.49,3.98,7055
1.0,Good,H,SI2,57.9,62,6.53,6.49,3.77,4592
1.0,Ideal,G,VS1,62.7,54,6.37,6.42,4.01,6349
1.2,Ideal,D,SI1,62.7,55,6.71,6.79,4.23,7761
1.19,Ideal,E,SI2,61.9,56,6.84,6.8,4.22,5598
1.5,Good,J,VS2,61.7,56,7.23,7.33,4.49,7177
1.02,Premium,E,SI2,62.9,56,6.43,6.36,4.02,4478
1.01,Premium,G,VS2,60.2,59,6.48,6.55,3.92,5759
1.06,Ideal,E,SI1,58.8,57,6.71,6.66,3.93,5877
1.01,Very Good,E,SI1,60.8,59,6.43,6.5,3.93,6268
1.03,Ideal,F,SI1,61.3,56,6.55,6.51,4.0,5595
1.03,Ideal,F,VS1,61.7,56,6.49,6.54,4.02,7137
1.01,Premium,F,SI1,61.8,59,6.34,6.41,3.94,4899
1.0,Good,D,SI1,65.1,54,6.23,6.27,4.07,4786
1.02,Very Good,D,SI2,60.9,61,6.47,6.53,3.96,4904
1.02,Ideal,E,SI2,62.7,57,6.35,6.44,4.01,4585
1.0,Good,E,SI2,60.5,61,6.31,6.38,3.84,4004
1.01,Ideal,H,SI1,61.0,56,6.48,6.43,3.94,5062
1.03,Ideal,G,SI1,62.2,59,6.41,6.45,4.0,5684
0.9,Very Good,G,VS1,61.7,60,6.11,6.2,3.8,4872
1.09,Premium,F,SI1,62.7,58,6.51,6.56,4.1,5287
1.2,Very Good,F,SI2,63.2,58,6.78,6.74,4.27,4502
1.01,Premium,E,SI2,58.6,58,6.66,6.62,3.89,4308
0.9,Very Good,D,SI1,62.8,59,6.12,6.18,3.86,4466
1.04,Fair,E,SI2,67.5,56,6.28,6.22,4.22,4566
1.03,Ideal,D,SI2,62.8,56,6.46,6.43,4.05,4764
1.16,Very Good,F,VS2,60.2,63,6.79,6.7,4.07,7803
1.12,Premium,H,SI2,61.9,58,6.74,6.66,4.15,4704
1.25,Premium,J,VS1,62.2,58,6.92,6.88,4.29,5740
1.01,Premium,F,VS1,62.6,58,6.37,6.48,4.02,6066
1.31,Premium,I,SI1,63.0,57,6.96,6.91,4.37,5869
1.33,Ideal,J,VS1,62.5,58,6.99,7.03,4.38,6449
1.2,Premium,H,VS2,60.7,60,6.88,6.82,4.16,6250
1.01,Ideal,D,SI1,61.4,59,6.4,6.44,3.94,5812
1.12,Ideal,G,SI2,62.4,56,6.63,6.67,4.15,4712
1.21,Ideal,H,VS2,62.6,55,6.78,6.84,4.26,7426
1.02,Premium,F,SI2,60.3,59,6.53,6.5,3.93,4318
1.02,Very Good,F,SI2,63.0,58,6.37,6.43,4.03,4319
1.03,Very Good,G,VS1,61.3,56,6.5,6.52,3.99,7511
1.18,Ideal,I,VS1,62.2,55,6.8,6.77,4.22,6272
1.17,Very Good,F,VS2,62.4,56,6.71,6.76,4.2,7432
1.01,Good,E,VS2,63.7,56,6.29,6.27,4.0,6335
0.78,Ideal,D,VS1,62.2,57,5.86,5.9,3.66,4350
1.01,Ideal,H,VS1,59.8,59,6.52,6.56,3.91,5550
1.34,Premium,H,SI2,61.6,60,7.05,6.97,4.32,4502
1.12,Very Good,F,SI1,61.4,63,6.7,6.68,4.11,5374
1.07,Premium,G,VS2,61.9,60,6.55,6.48,4.03,6213
1.2,Good,D,SI1,63.5,55,6.7,6.78,4.28,5913
1.1,Very Good,E,SI2,63.3,56,6.58,6.53,4.15,4140
1.2,Very Good,H,SI1,63.5,58,6.69,6.73,4.26,5443
1.08,Ideal,E,SI2,61.7,57,6.55,6.6,4.06,4989
1.12,Ideal,H,VS1,60.9,57,6.71,6.73,4.09,7616
1.02,Ideal,F,SI2,62.1,56,6.44,6.41,3.99,4238
0.95,Premium,F,SI1,62.3,60,6.3,6.26,3.91,4682
1.0,Very Good,G,VS2,62.7,58,6.34,6.42,4.0,5544
1.02,Premium,H,SI2,62.5,54,6.44,6.4,4.01,4284
1.07,Ideal,H,SI1,61.0,56,6.6,6.68,4.05,5281
1.08,Very Good,H,VS2,62.2,57,6.5,6.55,4.06,5155
1.37,Premium,J,VS1,60.0,62,7.24,7.21,4.33,5370
1.01,Very Good,F,SI2,60.0,59,6.48,6.61,3.93,4416
1.06,Ideal,D,SI2,62.3,55,6.5,6.54,4.06,5159
1.21,Premium,H,VS2,59.3,60,6.99,6.93,4.13,6974
1.03,Premium,E,SI2,62.0,59,6.49,6.42,4.0,4974
1.06,Ideal,H,SI2,60.1,59,6.58,6.67,3.98,4516
1.11,Ideal,H,SI1,62.5,56,6.65,6.63,4.15,5395
1.02,Ideal,F,SI2,61.4,56,6.5,6.47,3.98,4662
1.01,Very Good,D,SI2,61.8,57,6.42,6.47,3.98,4260
1.12,Very Good,H,SI2,60.9,60,6.71,6.76,4.1,4498
1.0,Very Good,G,SI1,63.1,56,6.41,6.31,4.01,4295
1.04,Ideal,G,VS1,60.7,55,6.57,6.61,4.0,7655
1.01,Very Good,H,SI1,59.3,62,6.57,6.55,3.89,4868
1.09,Ideal,H,VS2,61.3,56,6.57,6.63,4.05,6288
1.02,Very Good,D,SI1,63.3,60,6.33,6.38,4.02,5778
1.21,Ideal,H,SI1,62.2,54,6.8,6.86,4.25,6876
1.01,Ideal,E,SI1,61.8,57,6.39,6.49,3.98,5262
1.04,Very Good,G,VVS2,62.8,54,6.39,6.5,4.05,7481
1.0,Very Good,F,SI1,63.4,61,6.35,6.29,4.01,4939
1.22,Premium,G,SI1,60.7,59,6.92,6.96,4.21,6492
1.17,Premium,G,SI1,62.6,55,6.75,6.7,4.21,7731
1.5,Good,J,SI2,63.6,58,7.25,7.18,4.59,6421
1.01,Good,G,SI1,63.8,56,6.32,6.37,4.05,4504
1.01,Premium,D,SI1,62.6,58,6.33,6.44,4.0,5443
1.12,Ideal,I,SI1,62.0,56,6.69,6.64,4.13,4829
1.01,Premium,E,VS2,62.0,59,6.46,6.44,4.0,6787
1.07,Ideal,F,SI2,61.5,57,6.57,6.6,4.05,4678
1.02,Very Good,E,VS2,62.5,57,6.36,6.41,3.99,6816
1.01,Very Good,H,VS2,61.6,60,6.46,6.39,3.96,5204
